ID,Parent Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price,Category,Derived Products,Acquisition Date
335,Hp,1998,1,Business related assets of Siltek,Information technology,-,,-,-,1998-01-01
336,Hp,1998,3,Heartstream,Medical equipment,-,,-,-,1998-03-01
337,Hp,1998,6,Computing & Measurement Systems,Computers,-,,-,-,1998-06-01
338,Hp,1998,10,Scope Communications Inc.,Cable tester,-,,-,-,1998-10-01
339,Hp,1998,10,"Open Skies, Inc.",Computer software,-,,-,-,1998-10-01
340,Hp,1999,5,Printmountain,Printing,-,,-,-,1999-05-01
341,Hp,1999,5,Telegra Corp,Computer software,-,,-,-,1999-05-01
342,Hp,1999,5,Transoft Networks,Storage area network,-,,-,-,1999-05-01
343,Hp,1999,6,Dazel Corporation,Computer software,-,,-,-,1999-06-01
344,Hp,1999,8,Security Force Software,Computer security,-,,-,-,1999-08-01
345,Hp,1999,9,Qosnetics,Information technology,-,,-,-,1999-09-01
346,Hp,2001,1,Bluestone Software,Computer software,-,470000000.0,-,-,2001-01-01
347,Hp,2001,8,Comdisco Inc.,Information technology,-,610000000.0,-,-,2001-08-01
348,Hp,2001,8,Trinagy Inc.,Computer software,-,,-,-,2001-08-01
349,Hp,2001,9,StorageApps,Data storage,-,350000000.0,-,-,2001-09-01
350,Hp,2002,3,Indigo N.V,Printing service,-,,-,-,2002-03-01
351,Hp,2002,5,Compaq,Personal computer,-,25000000000.0,-,-,2002-05-01
352,Hp,2003,5,Procter & Gamble IT,Information technology,-,3000000000.0,-,-,2003-05-01
353,Hp,2003,6,Ericsson IT,Information technology,-,,-,-,2003-06-01
354,Hp,2003,7,PipeBeach,Communication software,-,,-,-,2003-07-01
355,Hp,-,1,Extreme Logic Inc.,Information technology,-,,-,-,
356,Hp,-,1,Talking Blocks,Web service,-,,-,-,
357,Hp,2003,9,SelectAccess assets of Baltimore Technologies,Computer security,-,,-,-,2003-09-01
358,Hp,-,1,Persist Technology,Computer software,-,,-,-,
359,Hp,2004,2,Consera Software,Computer software,-,,-,-,2004-02-01
360,Hp,-,1,Triaton Gmbh,Information technology,-,,-,-,
361,Hp,-,1,TruLogica,Computer software,-,,-,-,
362,Hp,2004,4,Novadigm Inc.,Computer software,-,,-,-,2004-04-01
363,Hp,2004,5,IT Infrastructure Management LLC(doing business as ManageOne),Information technology consulting,-,,-,-,2004-05-01
364,Hp,2004,5,CEC Europe Service Management,Information technology consulting,-,,-,-,2004-05-01
365,Hp,2004,6,Networking technology from Riverstone Networks,Computer networking,-,,-,-,2004-06-01
366,Hp,2004,10,Synstar,Information technology,-,,-,-,2004-10-01
367,Hp,2005,1,IT division of West LB AG,Information technology,-,,-,-,2005-01-01
368,Hp,2005,4,Snapfish,Photo sharing,-,,-,-,2005-04-01
369,Hp,-,1,CGNZ,Information technology consulting,-,,-,-,
370,Hp,-,1,AppIQ,Data storage,-,,-,-,
371,Hp,-,1,RLX Technologies,Computer software,-,,-,-,
372,Hp,2005,11,Scitex Vision,Printing service,-,230000000.0,-,-,2005-11-01
373,Hp,-,1,Trustgenix Inc.,Computer software,-,,-,-,
374,Hp,-,1,PIXACO,Online photo services,-,,-,-,
375,Hp,2005,12,Peregrine Systems,Computer software,-,425000000.0,-,-,2005-12-01
376,Hp,-,1,OuterBay,Computer software,-,,-,-,
377,Hp,-,1,Silverwire,Imaging,-,,-,-,
378,Hp,2006,6,The Technology Partners,Information technology consulting,-,,-,-,2006-06-01
379,Hp,2006,10,VoodooPC,Computer manufacturer,-,,-,-,2006-10-01
380,Hp,2006,11,Mercury Interactive,Computer software,-,4500000000.0,-,-,2006-11-01
381,Hp,-,1,Knightsbridge Solutions,Information management,-,,-,-,
382,Hp,-,1,Bitfone Corp.,Computer software,-,,-,-,
383,Hp,-,1,Bristol Technology,Computer software,-,,-,-,
384,Hp,-,1,Polyserve,Computer software,-,,-,-,
385,Hp,-,1,Tabblo Inc.,Computer software,-,,-,-,
386,Hp,-,1,Arteis,Computer software,-,,-,-,
387,Hp,-,1,SPI Dynamic Inc.,Computer software,-,,-,-,
388,Hp,2007,7,Opsware,Computer software,-,1600000000.0,-,-,2007-07-01
389,Hp,-,1,Neoware,Thin client,-,214000000.0,-,-,
390,Hp,-,1,MacDermid ColorSpan Inc.,Printer manufacturer,-,,-,-,
391,Hp,-,1,Atos Origin Middle East Group,Information technology consulting,-,,-,-,
392,Hp,2008,2,EYP Mission Critical Facilities Inc.,Information technology consulting,-,,-,-,2008-02-01
393,Hp,2008,3,NUR Macroprinters Ltd,Printer,-,457076000.0,-,-,2008-03-01
394,Hp,2008,3,Exstream Software,Computer software,-,371000000.0,-,-,2008-03-01
395,Hp,-,1,TOWER Software,Computer software,-,101529000.0,-,-,
396,Hp,-,1,Colubris Networks,Wireless networking,-,,-,-,
397,Hp,2008,8,Electronic Data Systems,Information technology consulting,-,13900000000.0,-,-,2008-08-01
398,Hp,-,1,LeftHand Networks Inc.,Data storage,-,360000000.0,-,-,
399,Hp,2009,8,"IBRIX, Inc.",Computer software,-,,-,-,2009-08-01
400,Hp,2010,4,3Com,Computer networking,-,2700000000.0,-,-,2010-04-01
401,Hp,2010,6,Melodeo,Computer software,-,30000000.0,-,-,2010-06-01
402,Hp,2010,6,Phoenix Technologies,Computer software,-,12000000.0,-,-,2010-06-01
403,Hp,2010,7,"Palm, Inc.",Smartphone manufacturer,-,1200000000.0,-,-,2010-07-01
404,Hp,2010,8,Stratavia,Computer software,-,,-,-,2010-08-01
405,Hp,2010,9,3PAR,Data Storage,-,2350000000.0,-,-,2010-09-01
406,Hp,2010,9,Fortify Software,Computer software,-,,-,-,2010-09-01
407,Hp,2010,10,ArcSight,Corporate computer security management,-,1500000000.0,-,-,2010-10-01
408,Hp,2011,3,"Vertica Systems, Inc.",Enterprise database software,-,350000000.0,-,-,2011-03-01
409,Hp,2011,10,Autonomy Corporation,Information management,-,11000000000.0,-,-,2011-10-01
410,Hp,2011,12,Hiflex,Information management,-,,-,-,2011-12-01
411,Hp,2013,2,Memlane,Information technology,-,,-,-,2013-02-01
412,Hp,2014,5,Shunra,Computer networking software,-,,-,-,2014-05-01
413,Hp,2014,9,Eucalyptus,Cloud computing software,-,,-,-,2014-09-01
414,Hp,2015,5,Voltage Security,Cloud security software,-,,-,-,2015-05-01
415,Hp,2015,2,Aruba Networks,Mobile networking,-,,-,-,2015-02-01
416,Hp,2015,5,ConteXtream,Networking software,-,,-,-,2015-05-01
417,Hp,2016,2,Trilead,Data protection software,-,,-,-,2016-02-01
418,Hp,2016,5,RASA Networks,Network Performance and Analytics software,-,,-,-,2016-05-01
419,Hp,2016,8,SGI,Computer hardware,-,275000000.0,-,-,2016-08-01
420,Hp,-,1,Samsung's Printing Business,Printing and Imaging,South Korea,1050000000.0,-,-,
421,Hp,2017,5,SimpliVity,Hyperconverged Infrastructure,-,650000000.0,-,-,2017-05-01
422,Hp,2017,1,Cloud Cruiser,Cloud Cost Management and Optimization,-,,-,-,2017-01-01
423,Hp,-,1,Nimble Storage,Flash and Hybrid Data Storage,-,1090000000.0,-,-,
424,Hp,2021,2,HyperX,Computer peripherals,-,425000000.0,-,-,2021-02-01
425,Hp,2021,10,Teradici,Remote desktop software,-,,-,-,2021-10-01
426,Google,2001,2,Dejavue,Usenet,-,,-,Google Groups,2001-02-01
427,Google,2001,9,Outride,Web search engine,-,,-,Google Personalized Search,2001-09-01
